member,mean,std_dev,error
pp_ens_01,2.748035331023857e-05,0.00011187444761162624,
pp_ens_02,2.7486648832564242e-05,0.00011198963329661638,
pp_ens_03,2.750137537077535e-05,0.00011201220331713557,
pp_ens_04,2.748606857494451e-05,0.00011204922338947654,
pp_ens_05,2.7498375857248902e-05,0.00011212484241696075,
pp_ens_06,2.74848825938534e-05,0.00011212865501875058,
pp_ens_07,2.7514628527569585e-05,0.00011216980055905879,
pp_ens_08,2.7512576707522385e-05,0.00011216572602279484,
pp_ens_09,2.7541938834474422e-05,0.00011231105600018054,
pp_ens_10,2.7539912480278872e-05,0.00011220706073800102,
pp_ens_11,2.7478939955472015e-05,0.00011214173719054088,
pp_ens_12,2.7506001060828567e-05,0.00011212796380277723,
pp_ens_13,2.7529156795935705e-05,0.000112235160486307,
pp_ens_14,2.753234002739191e-05,0.00011224636546103284,
pp_ens_15,2.749428676906973e-05,0.00011217362771276385,
pp_ens_16,2.7569605663302355e-05,0.00011240821186220273,
pp_ens_17,2.7550382583285682e-05,0.00011235286365263164,
pp_ens_18,2.7560479793464765e-05,0.00011240051389904693,
pp_ens_19,2.7548379875952378e-05,0.0001123958281823434,
pp_ens_20,2.7493566449265927e-05,0.00011206262570340186,
pp_ens_21,2.753252374532167e-05,0.00011235382407903671,
pp_ens_22,2.7562320610741153e-05,0.00011245794303249568,
pp_ens_23,2.755012974375859e-05,0.00011244705819990486,
pp_ens_24,2.7561729439185e-05,0.00011243668268434703,
pp_ens_25,2.753414628386963e-05,0.00011229419760638848,
pp_ens_26,2.755944115051534e-05,0.00011242565960856155,
pp_ens_27,2.7584386771195568e-05,0.0001123475594795309,
pp_ens_28,2.75311031145975e-05,0.00011246273061260581,
pp_ens_29,2.7508625862537883e-05,0.00011228685616515577,
pp_ens_30,2.7537425921764225e-05,0.00011223251931369305,
