member,mean_precip_mm_day,std_dev_mm_day,error
pp_ens_01,2.504580497741699,10.741785049438477,
pp_ens_02,2.502415657043457,10.7417573928833,
pp_ens_03,2.5041091442108154,10.747785568237305,
pp_ens_04,2.5056405067443848,10.739806175231934,
pp_ens_05,2.502150535583496,10.73475170135498,
pp_ens_06,2.508406162261963,10.76185131072998,
pp_ens_07,2.5049328804016113,10.757552146911621,
pp_ens_08,2.504296064376831,10.741786003112793,
pp_ens_09,2.5026397705078125,10.733028411865234,
pp_ens_10,2.506556272506714,10.754084587097168,
pp_ens_11,2.503648519515991,10.738384246826172,
pp_ens_12,2.5064265727996826,10.739594459533691,
pp_ens_13,2.5006420612335205,10.732070922851562,
pp_ens_14,2.5060677528381348,10.75715160369873,
pp_ens_15,2.5070905685424805,10.757880210876465,
pp_ens_16,2.5095839500427246,10.760703086853027,
pp_ens_17,2.503826141357422,10.74176025390625,
pp_ens_18,2.504030704498291,10.762760162353516,
pp_ens_19,2.511622905731201,10.768922805786133,
pp_ens_20,2.509551525115967,10.756240844726562,
pp_ens_21,2.5091803073883057,10.767278671264648,
pp_ens_22,2.5041937828063965,10.743071556091309,
pp_ens_23,2.5049686431884766,10.746565818786621,
pp_ens_24,2.5077943801879883,10.766068458557129,
pp_ens_25,2.508676052093506,10.76025104522705,
pp_ens_26,2.5098793506622314,10.762916564941406,
pp_ens_27,2.5068225860595703,10.757183074951172,
pp_ens_28,2.5095043182373047,10.770673751831055,
pp_ens_29,2.5075039863586426,10.755688667297363,
pp_ens_30,2.513399362564087,10.775801658630371,
