member,mean,std_dev,error
pp_ens_01,2.9158018151065335e-05,0.00011502637062221766,
pp_ens_02,2.9160120902815834e-05,0.00011513668141560629,
pp_ens_03,2.9175880627008155e-05,0.00011516000085975975,
pp_ens_04,2.9165317755541764e-05,0.00011520893895067275,
pp_ens_05,2.9174310839152895e-05,0.00011527925380505621,
pp_ens_06,2.9155162337701768e-05,0.00011527446622494608,
pp_ens_07,2.9189090128056705e-05,0.00011532084317877889,
pp_ens_08,2.9198125048424117e-05,0.00011533740325830877,
pp_ens_09,2.921051054727286e-05,0.00011545221786946058,
pp_ens_10,2.9216700568213128e-05,0.00011536037345649675,
pp_ens_11,2.9159777113818564e-05,0.00011530826304806396,
pp_ens_12,2.918578320532106e-05,0.00011528861796250567,
pp_ens_13,2.91990909317974e-05,0.00011537806130945683,
pp_ens_14,2.9205322789493948e-05,0.00011539485421963036,
pp_ens_15,2.9171156711527146e-05,0.00011533185897860676,
pp_ens_16,2.9248838472994976e-05,0.00011556863319128752,
pp_ens_17,2.9226375772850588e-05,0.00011550799536053091,
pp_ens_18,2.9234552130219527e-05,0.00011555232777027413,
pp_ens_19,2.921992927440442e-05,0.00011554436787264422,
pp_ens_20,2.9178265322116204e-05,0.00011523187276907265,
pp_ens_21,2.9212460503913462e-05,0.00011551858187885955,
pp_ens_22,2.9245447876746766e-05,0.00011562810686882585,
pp_ens_23,2.9230031941551715e-05,0.00011561245628399774,
pp_ens_24,2.924164255091455e-05,0.00011560029815882444,
pp_ens_25,2.920891893154476e-05,0.00011544727749424055,
pp_ens_26,2.9240245567052625e-05,0.00011559084668988362,
pp_ens_27,2.9258353606564924e-05,0.0001154944475274533,
pp_ens_28,2.921280793088954e-05,0.00011563442240003496,
pp_ens_29,2.918696372944396e-05,0.00011544957669684663,
pp_ens_30,2.9219094358268194e-05,0.00011539596744114533,
