member,mean,std_dev,error
pp_ens_01,0.010507632046937943,0.0005235710414126515,
pp_ens_02,0.010327974334359169,0.0004964091931469738,
pp_ens_03,0.010504513047635555,0.000389191962312907,
pp_ens_04,0.010359563864767551,0.0002435709466226399,
pp_ens_05,0.010497820563614368,0.0004668580659199506,
pp_ens_06,0.010336204431951046,0.00023655146651435643,
pp_ens_07,0.01041638944298029,0.0006569979013875127,
pp_ens_08,0.010382350534200668,0.0003049074439331889,
pp_ens_09,0.010476996190845966,0.0004504217649810016,
pp_ens_10,0.010603833943605423,0.00040260469540953636,
pp_ens_11,0.010375792160630226,0.00035105098504573107,
pp_ens_12,0.010347367264330387,0.0003304302808828652,
pp_ens_13,0.010377174243330956,0.0002841327805072069,
pp_ens_14,0.010296768508851528,0.00021639010810758919,
pp_ens_15,0.010240907780826092,0.00022188304865267128,
pp_ens_16,0.010473735630512238,0.0004318544815760106,
pp_ens_17,0.010601007379591465,0.00038446340477094054,
pp_ens_18,0.01056266762316227,0.00037809048080816865,
pp_ens_19,0.010191557928919792,9.349866741104051e-05,
pp_ens_20,0.010742910206317902,0.0006205374374985695,
pp_ens_21,0.010356658138334751,0.0003133110876660794,
pp_ens_22,0.010394632816314697,0.00030607247026637197,
pp_ens_23,0.010372967459261417,0.0002817752829287201,
pp_ens_24,0.010374310426414013,0.0003992713463958353,
pp_ens_25,0.010547918267548084,0.0003617069742176682,
pp_ens_26,0.01035989634692669,0.00040066923247650266,
pp_ens_27,0.010312732309103012,0.00019342973246239126,
pp_ens_28,0.0104312002658844,0.0003237389901187271,
pp_ens_29,0.010667777620255947,0.0003392122162040323,
pp_ens_30,0.01040224265307188,0.00028413423569872975,
